"nombre_discurso","topico","palabras","probabilidades"
"Bolivia_2019_Evo_Morales","Topico_7","['años', 'quiero', 'vida', 'decirles', 'contrabando', 'glp', 'importaciones', 'bolivia', 'vamos', 'economía', 'beni', 'esperanza', '40', 'sevaruyo', '50', 'ahora', 'hace', 'nuevamente', 'planta', 'año']","[0.014520371, 0.011875641, 0.009694081, 0.0073060896, 0.007261438, 0.0072068386, 0.0071497555, 0.005232267, 0.0051079877, 0.005095284, 0.005093303, 0.0050821616, 0.0050795, 0.0050620832, 0.005030836, 0.0050155534, 0.005007336, 0.005005654, 0.0050027454, 0.004995795]"
"Bolivia_2020_Jeanine_Añez","Topico_1","['golpeado', 'políticas', 'implementado', 'camino', 'apoyo', 'bolivianos', 'pandemia', 'familias', 'empleo', 'caída', 'histórica', 'públicos', 'economía', 'recursos', 'salud', 'fácil', 'vida', 'paz', 'n', 'beneficio']","[0.03942467, 0.033007007, 0.033006795, 0.026589029, 0.026588866, 0.020659862, 0.020472571, 0.020343585, 0.020170845, 0.020170556, 0.020170547, 0.013922817, 0.013752789, 0.013752682, 0.013752644, 0.013751344, 0.007777091, 0.0075223376, 0.007519439, 0.00747563]"
"Bolivia_2020_Jeanine_Añez","Topico_2","['bolivianos', 'democracia', 'caminos', 'avanzando', 'economía', 'gobierno', 'bono', 'salud', 'mas', 'pandemia', 'tres', 'política', 'vida', 'bolivia', 'plena', 'camino', 'encarando', 'reactivar', 'señoras', 'desafío']","[0.026537927, 0.022441244, 0.022441035, 0.022440752, 0.018077623, 0.01800302, 0.017917965, 0.014129372, 0.013729448, 0.013714229, 0.013713949, 0.009453851, 0.009350473, 0.009350452, 0.009350404, 0.009350404, 0.009350373, 0.009350358, 0.009350324, 0.009350313]"
"Bolivia_2020_Jeanine_Añez","Topico_3","['bolivianos', 'bolivia', 'salud', 'economía', 'misión', 'misiones', 'democracia', 'paz', 'llamado', 'desafío', 'futuro', 'importante', 'hoy', 'unidad', 'políticos', 'claras', 'reconciliación', 'líderes', 'pande', 'camino']","[0.034468774, 0.026148656, 0.017828822, 0.017828442, 0.017828377, 0.017828347, 0.009508668, 0.009508579, 0.009508513, 0.009508485, 0.009508482, 0.009508469, 0.009508462, 0.009508461, 0.009508458, 0.0095084505, 0.009508446, 0.009508429, 0.009508427, 0.009508425]"
"Bolivia_2020_Jeanine_Añez","Topico_4","['pandemia', 'camino', 'prioridad', 'decisiones', 'gracias', 'hicimos', 'miles', 'democracia', 'dejado', 'ilias', 'ingresos', 'empleos', 'empresas', 'destruido', 'bendiga', 'muchas', 'fam', 'electoral', 'trabajo', 'celebramos']","[0.021719886, 0.017078161, 0.017077923, 0.016466849, 0.015638586, 0.015169182, 0.014940367, 0.014910653, 0.009108479, 0.009108474, 0.009108472, 0.009108426, 0.00910841, 0.009108372, 0.00910836, 0.009108327, 0.009108312, 0.009108252, 0.009108211, 0.009108183]"
"Bolivia_2020_Jeanine_Añez","Topico_5","['dinero', 'liberen', 'pandemia', 'salud', 'virus', 'servidores', 'públicos', 'democracia', 'miles', 'aprendido', 'sigue', 'desafío', 'independiente', 'justicia', 'transparente', 'seguridad', 'n', 'elecciones', 'fuerte', 'pagar']","[0.051783543, 0.046063025, 0.030113038, 0.026583783, 0.017097201, 0.016498743, 0.016478095, 0.013136899, 0.013116634, 0.011657239, 0.011657149, 0.011657026, 0.011657014, 0.011656947, 0.011656944, 0.011656892, 0.011656846, 0.010508815, 0.009437117, 0.0077063977]"
"Bolivia_2020_Jeanine_Añez","Topico_6","['señores', 'economía', 'democracia', 'destruida', 'señor', 'trabajando', 'pandemia', 'diputados', 'salían', 'despilfarro', 'miembros', 'palacios', 'lucha', 'pueblo', 'saludar', 'fiesta', 'nacional', 'día', 'señora', 'primer']","[0.021231137, 0.0211811, 0.021115493, 0.017102834, 0.01699354, 0.016878258, 0.012884588, 0.0128569435, 0.008846292, 0.0088462625, 0.0088462485, 0.008846113, 0.008845982, 0.008844989, 0.008820291, 0.008816471, 0.008813897, 0.008813027, 0.008806894, 0.00879517]"
"Bolivia_2020_Jeanine_Añez","Topico_7","['trabajado', 'pandemia', 'aplausos', 'ministerio', 'ele', 'onu', 'región', 'internacionales', 'contraloría', 'oms', 'confiables', 'judicial', 'enfrentar', 'imparciales', 'organismos', 'supremo', 'ctoral', 'general', 'países', 'público']","[0.057247095, 0.019969694, 0.019325266, 0.010650518, 0.010650505, 0.010650498, 0.010650497, 0.010650496, 0.010650481, 0.010650476, 0.0106504755, 0.0106504625, 0.010650459, 0.010650458, 0.010650452, 0.010650447, 0.010650445, 0.010650444, 0.010650434, 0.010650433]"
"Bolivia_2021_Luis_Arce","Topico_1","['día', 'aplausos', 'quiroga', 'cada', 'santa', 'elecciones', 'triunfo', 'constitucional', 'psp', 'estructura', 'instaurando', 'diría', 'verdad', 'cruz', 'golpe', 'vamos', 'vez', 'mentira', 'marcelo', 'escamoteó']","[0.023300247, 0.023240216, 0.01247323, 0.012459474, 0.012453075, 0.0124509595, 0.012448383, 0.012447255, 0.012446854, 0.01244172, 0.012441336, 0.012440005, 0.012435532, 0.012433043, 0.012431478, 0.012430904, 0.012430276, 0.012426957, 0.012426511, 0.012425199]"
"Bolivia_2021_Luis_Arce","Topico_2","['música', 'hermanos', 'aplausos', 'favor', 'pueblo', 'representantes', 'ejemplo', 'saludo', 'sociales', 'democracia', 'asambleístas', 'voy', 'observando', 'nacional', 'indígenas', 'todas', 'hoy', 'boliviano', 'octubre', 'año']","[0.045278586, 0.040441755, 0.03536598, 0.035145845, 0.025726207, 0.015752038, 0.015680432, 0.010740017, 0.010739913, 0.010690339, 0.010635476, 0.010574632, 0.010561848, 0.0070063807, 0.006979553, 0.0061203116, 0.005853087, 0.005842235, 0.0057280296, 0.0057280157]"
